YEAR,LOC,BRAND,NAME,YIELD,TW,MOIST,HEAD,HT
1982,RLD,,,63.99,58.9,,140.5,35
1982,RLD,,,61.36,60,,139.5,35
1982,RLD,,,50.36,54.9,,137.5,32.5
1982,RLD,,,51.7,58.4,,135,35.5
1982,RLD,,,44.15,56.1,,136.5,29.25
1982,RLD,,,62.04,54.4,,138,35
1982,RLD,,,69.28,56.3,,137,35.25
1982,RLD,,,48.34,54.6,,138,30.75
1982,RLD,,,54.48,58.6,,137,31.25
1982,RND,,,60.94,56.17,,128.5,29.25
1982,RND,,,55.23,60.15,,131,34.75
1982,RND,,,67.33,59.32,,129.5,31.25
1982,RND,,,60.63,59.47,,131,39.25
1982,RND,,,62.64,62.05,,130.5,34.75
1982,RND,,,56.32,59.07,,130,28.25
1982,RND,,,56.97,58.92,,131.75,32
1982,RND,,,51.44,58.35,,129.75,30.5
1982,RND,,,56.23,60.02,,130.5,35.75
1982,RND,,,56.12,61.25,,129.25,30
1982,RND,,,62.7,59.7,,128.25,29
1982,RND,,,53.13,59.37,,130.5,28.75
1982,RND,,,52.43,60.05,,127.75,33.75
1982,RND,,,57.49,60.07,,130.5,32
1982,RND,,,55.24,60.42,,126.75,29.25
1982,RND,,,54.58,58.35,,125.5,29.75
1982,RND,,,64.38,59.85,,131,35.25
1982,RND,,,48.64,60.05,,128.25,30.5
1982,RND,,,60.78,60.25,,132,34.75
1982,RND,,,64.85,57.65,,129.25,33.5
1982,RND,,,45.59,59.25,,128.5,27.75
1982,RND,,,52.33,58.9,,131,33.5
1982,RND,,,64.54,59.92,,128.75,31.5
1982,RND,,,63.74,59.92,,130,32
1982,RND,,,57.72,59.23,,129.31,31.75
1982,RND,,,66.66,60.25,,128,32
1982,RND,,,64.17,55,,129.25,28.25
1982,RND,,,43.36,55.32,,124.5,30
1982,RPD,,,52.6,61.75,,139.75,44
1982,RPD,,,59.56,60.75,,139.75,42.75
1982,RPD,,,36.81,61,,140.25,45.25
1982,RPD,,,63,62.5,,140.5,42.25
1982,RPD,,,58.02,62,,141,39.75
1982,RPD,,,42.36,61.25,,141.25,41.75
1982,RPD,,,53.38,59.25,,139.75,41.75
1982,RPD,,,57.6,59.25,,139.75,41
1982,RPD,,,42.29,59.5,,139.25,44.5
1982,RPD,,,60.52,60.25,,139.25,41.75
1982,RPD,,,49.68,61.25,,140.25,41.75
1982,RPD,,,54.78,61.25,,139.5,44
1982,RPD,,,66.64,59,,139.75,42.25
1982,RPD,,,41.54,58.5,,140.25,42.5
1982,RPD,,,51.16,58.5,,140.25,44.25
1982,RPD,,,37.78,59.75,,141,42.5
1982,RPD,,,66.76,61.5,,139,45.25
1982,RPD,,,60.41,61.25,,141,43
1982,RPD,,,59.98,57.25,,139.75,46.25
1982,RPD,,,35.19,60.5,,140.25,40.25
1982,RPD,,,59.86,61.5,,139.75,41.75
