YEAR,LOC,COUNTY,CITY,LOCATION
2006,CDD,Cloud,Concordia,"Southeast Agricultural Res-Ext Center, Columbus"
2006,FND,Finney,Garden City,"Southwest Research-Extension Center, Garden City"
2006,BRD,Brown,Everest,"Northeast, Ks Bunck Seed Farms, Everest"
2007,THD,Thomas,Colby,"Northwest Research-Extension Center, Colby"
2007,FRD,Franklin,Ottawa,"East Central Kansas Experiment Field, Ottawa"
2007,CRD,Cherokee,Columbus,"Southeast Agricultural Res-Ext Center, Columbus"
2007,RPD,Republic,Belleville,"North Central Kansas Exp. Field, Belleville"
2007,PND,Pawnee,Larned,"Southwest, Ks Farmer's Field, Larned"
2007,FDI,Ford,Dodge City,"Southwest, Ks Farmer's Field, Dodge City"
2007,BRD,Brown,Everest,"Northeast, Ks Bunck Seed Farms, Everest"
2007,FNI,Finney,Garden City,"Southwest Research-Extension Center, Garden City"
2007,THI,Thomas,Colby,"Northwest Research-Extension Center, Colby"
2007,GRD,Greeley,Tribune,"Southwest Research-Extension Center, Tribune"
2007,MTD,Mitchell,Beloit,"North Central, Ks Farmer's Field, Beloit"
2007,CRDS,Cherokee,Columbus,Southeast Agricultural Res-Ext Center Columbus
2007,SUD,Sumner,Caldwell,"South Central, Ks Max Kolarik Farm, Conway Springs"
2007,FND,Finney,Garden City,"Southwest Research-Extension Center, Garden City"
2007,HVD,Harvey,Hesston,"Harvey County Experiment Field, Hesston"
2008,CRDS,Cherokee,Columbus,Southeast Agricultural Research Center
2008,LBDS,Labette,Parsons,Southeast Agricultural Research Center
2008,RPD,Republic,Belleville,North Central Kansas Exp. Field
2008,MTD,Mitchell,Beloit,"North Central, KS Farmer's Field"
2008,RND,Reno,Hutchinson,South Central Kansas Exp. Field
2008,BRD,Brown,Everest,"Northeast, KS Bunck Seed Farms"
2008,ELDF,Ellis,Hays,Agricultural Research Center
2008,THD,Thomas,Colby,Northwest Research-Extension Center
2008,GRD,Greeley,Tribune,Southwest Research-Extension Center
2008,LBD,Labette,Parsons,Southeast Agricultural Research Center
2008,THI,Thomas,Colby,Northwest Research-Extension Center
2008,FDD,Ford,Dodge City,"Southwest, KS Farmer's Field"
2008,FRD,Franklin,Ottawa,East Central Kansas Exp. Field
2008,HVD,Harvey,Hesston,Harvey County Exp. Field
2008,SUD,Sumner,Conway Springs,"South Central, KS Farmer's Field"
2008,CRD,Cherokee,Columbus,Southeast Agricultural Research Center
2009,MTD,Mitchell,Beloit,North Central KS Farmer's Field
2009,THI,Thomas,Colby,Northwest Research-Extension Center
2009,FND,Finney,Garden City,Southwest Research-Extension Center
2009,GRD,Greeley,Tribune,Southwest Research-Extension Center
2009,THD,Thomas,Colby,Northwest Research-Extension Center
2009,RND,Reno,Hutchinson,South Central Kansas Exp. Field
2009,RPD,Republic,Belleville,North Central Kansas Exp. Field
2009,RLD,Riley,Manhattan,Ashland Agronomy Farm
2009,ELDF,Ellis,Hays,Agricultural Research Center
2009,HVD,Harvey,Hesston,Harvey County Exp. Field
2009,LBDS,Labette,Parsons,Southeast Agricultural Research Center
2009,FRD,Franklin,Ottawa,East Central Kansas Exp. Field
